name,market_value,club,country,league,nationality,age,height,preferred_foot,position,shirt_number,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months
Luciano Gondou,7400,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,22,189,Left,F,32,68,55,51,33,49,0,0,0,0,7.14,33
Maximiliano Romero,2500,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,25,179,Right,F,9,62,48,54,32,47,0,0,0,0,6.86,37
Gastón Verón,1200,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,22,184,Right,F,10,64,51,45,29,48,0,0,0,0,6.8,34
Alan Lescano,2900,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,22,182,Left,M,22,58,60,47,38,59,0,0,0,0,6.88,37
Leonardo Heredia,1200,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,28,187,Right,M,15,55,50,41,33,44,0,0,0,0,6.82,38
Santiago Montiel,3100,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,23,166,Left,M,7,53,55,39,49,56,0,0,0,0,6.88,40
Nicolas Oroz,775,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,30,173,Left,M,21,60,56,50,42,57,0,0,0,0,7.02,38
Álan Rodríguez,1500,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,URU,24,170,Right,M,8,51,55,41,49,51,0,0,0,0,6.85,37
Franco Moyano,1800,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,26,171,Right,M,17,49,54,53,54,54,0,0,0,0,6.87,37
Damián Batallini,1200,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,27,178,Right,M,11,58,49,40,36,53,0,0,0,0,6.82,17
Luciano Sánchez,265,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,30,169,Right,D,3,45,48,57,67,50,0,0,0,0,6.81,11
Francisco Álvarez,1900,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,24,180,Right,D,16,37,42,58,71,33,0,0,0,0,6.92,37
Erik Godoy,635,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,30,184,Right,D,4,33,43,58,74,38,0,0,0,0,6.74,15
Jonathan Galván,360,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,31,185,Right,D,19,37,47,60,71,44,0,0,0,0,6.84,22
Fernando Meza,360,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,34,176,Right,D,18,35,41,55,66,41,0,0,0,0,6.74,28
Sebastián Prieto,715,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,30,173,Left,D,20,40,44,48,65,47,0,0,0,0,6.87,31
Diego Rodríguez,290,Argentinos Juniors,Argentina,Liga Profesional de Fútbol,ARG,34,184,Left,G,50,0,0,54,0,0,65,51,62,61,7.19,42
Mateo Coronel,3300,Atlético Tucumán,Argentina,Liga Profesional de Fútbol,ARG,25,172,Right,F,37,67,55,47,34,50,0,0,0,0,6.92,38
