name,short_name,name_code,position,tournament,country
Argentinos Juniors,Argentinos Jrs.,ARG,1,Liga Profesional de Fútbol,Argentina
Atlético Tucumán,Atlético Tucumán,CAT,2,Liga Profesional de Fútbol,Argentina
Boca Juniors,Boca Juniors,BOC,3,Liga Profesional de Fútbol,Argentina
Banfield,Banfield,BAN,4,Liga Profesional de Fútbol,Argentina
Barracas Central,Barracas,BAR,5,Liga Profesional de Fútbol,Argentina
Belgrano,Belgrano,BEL,6,Liga Profesional de Fútbol,Argentina
Central Córdoba,Central Córdoba,CC,7,Liga Profesional de Fútbol,Argentina
Huracán,Huracán,HUR,8,Liga Profesional de Fútbol,Argentina
Independiente,Independiente,CAI,9,Liga Profesional de Fútbol,Argentina
Lanús,Lanús,LAN,10,Liga Profesional de Fútbol,Argentina
Platense,Platense,PLA,11,Liga Profesional de Fútbol,Argentina
River Plate,River,RIV,12,Liga Profesional de Fútbol,Argentina
Rosario Central,Rosario Central,ROS,13,Liga Profesional de Fútbol,Argentina
San Lorenzo,San Lorenzo,SLO,14,Liga Profesional de Fútbol,Argentina
Sarmiento,Sarmiento,CAS,15,Liga Profesional de Fútbol,Argentina
Talleres,Talleres,CAT,16,Liga Profesional de Fútbol,Argentina
Tigre,Tigre,TIG,17,Liga Profesional de Fútbol,Argentina
Godoy Cruz,Godoy Cruz,GOD,18,Liga Profesional de Fútbol,Argentina
Defensa y Justicia,Def y Justicia,DYJ,19,Liga Profesional de Fútbol,Argentina
Deportivo Riestra,Dep. Riestra,RIE,20,Liga Profesional de Fútbol,Argentina
Estudiantes de La Plata,Estudiantes,ELP,21,Liga Profesional de Fútbol,Argentina
Gimnasia y Esgrima,Gimnasia,GLP,22,Liga Profesional de Fútbol,Argentina
Independiente Rivadavia,Ind. Rivadavia,IRM,23,Liga Profesional de Fútbol,Argentina
Instituto Córdoba,Instituto,IAC,24,Liga Profesional de Fútbol,Argentina
Newell's Old Boys,Newell's,NOB,25,Liga Profesional de Fútbol,Argentina
Racing Club,Racing,RAC,26,Liga Profesional de Fútbol,Argentina
Club Atlético Unión,Unión,UNI,27,Liga Profesional de Fútbol,Argentina
Vélez Sarsfield,Vélez Sarsfield,VEL,28,Liga Profesional de Fútbol,Argentina
Paris Saint-Germain,PSG,PSG,1,Ligue 1,France
Stade Brestois,Brest,SB29,2,Ligue 1,France
Lille,Lille,LOSC,3,Ligue 1,France
AS Monaco,AS Monaco,ASM,4,Ligue 1,France
Nice,Nice,OGCN,5,Ligue 1,France
RC Lens,Lens,RCL,6,Ligue 1,France
Olympique de Marseille,Marseille,OM,7,Ligue 1,France
Stade Rennais,Rennes,SRFC,8,Ligue 1,France
Stade de Reims,Reims,SDR,9,Ligue 1,France
Olympique Lyonnais,Lyon,OL,10,Ligue 1,France
Toulouse,Toulouse,TFC,11,Ligue 1,France
RC Strasbourg,Strasbourg,RCS,12,Ligue 1,France
Montpellier,Montpellier,MHS,13,Ligue 1,France
Nantes,Nantes,FCN,14,Ligue 1,France
Le Havre,Le Havre,HAC,15,Ligue 1,France
Lorient,Lorient,FCL,16,Ligue 1,France
Metz,Metz,FCM,17,Ligue 1,France
Clermont Foot,Clermont,CF63,18,Ligue 1,France
Royale Union Saint-Gilloise,USG,USG,1,Pro League,Belgium
Anderlecht,Anderlecht,AND,2,Pro League,Belgium
Club Brugge KV,Club Brugge,BRU,3,Pro League,Belgium
KRC Genk,Genk,GNK,4,Pro League,Belgium
Royal Antwerp FC,Royal Antwerp,RAFC,5,Pro League,Belgium
Cercle Brugge,Cercle Brugge,CER,6,Pro League,Belgium
Liverpool,Liverpool,LIV,1,Premier League,England
Arsenal,Arsenal,ARS,2,Premier League,England
Manchester City,Man City,MCI,3,Premier League,England
Aston Villa,Aston Villa,AVL,4,Premier League,England
Tottenham Hotspur,Tottenham ,TOT,5,Premier League,England
Manchester United,Man Utd,MUN,6,Premier League,England
West Ham United,West Ham,WHU,7,Premier League,England
Newcastle United,Newcastle,NEW,8,Premier League,England
Brighton & Hove Albion,Brighton,BHA,9,Premier League,England
Chelsea,Chelsea,CHE,10,Premier League,England
Wolverhampton,Wolves,WOL,11,Premier League,England
Bournemouth,Bournemouth,BOU,12,Premier League,England
Fulham,Fulham,FUL,13,Premier League,England
Crystal Palace,Crystal Palace,CRY,14,Premier League,England
Brentford,Brentford,BRE,15,Premier League,England
Everton,Everton,EVE,16,Premier League,England
Nottingham Forest,Forest,NFO,17,Premier League,England
Luton Town,Luton,LUT,18,Premier League,England
Burnley,Burnley,BUR,19,Premier League,England
Sheffield United,Sheffield Utd,SHU,20,Premier League,England
Atlético Goianiense,Atlético-GO,GOI,1,Brasileirão Série A,Brazil
Atlético Mineiro,Atlético-MG,ATL,2,Brasileirão Série A,Brazil
Botafogo,Botafogo,BOT,3,Brasileirão Série A,Brazil
Athletico,Athletico,CAP,4,Brasileirão Série A,Brazil
Flamengo,Flamengo,FLA,5,Brasileirão Série A,Brazil
Vasco da Gama,Vasco,VAS,6,Brasileirão Série A,Brazil
Criciúma,Criciúma,CRI,7,Brasileirão Série A,Brazil
Cruzeiro,Cruzeiro,CRU,8,Brasileirão Série A,Brazil
Cuiabá,Cuiabá,CUI,9,Brasileirão Série A,Brazil
Bahia,Bahia,BAH,10,Brasileirão Série A,Brazil
Juventude,Juventude,JUV,11,Brasileirão Série A,Brazil
Vitória,Vitória,VIT,12,Brasileirão Série A,Brazil
Fluminense,Fluminense,FLU,13,Brasileirão Série A,Brazil
Fortaleza,Fortaleza,FOR,14,Brasileirão Série A,Brazil
Grêmio,Grêmio,GPA,15,Brasileirão Série A,Brazil
Red Bull Bragantino,RB Bragantino,BRA,16,Brasileirão Série A,Brazil
São Paulo,São Paulo,SPA,17,Brasileirão Série A,Brazil
Corinthians,Corinthians,COR,18,Brasileirão Série A,Brazil
Internacional,Internacional,INT,19,Brasileirão Série A,Brazil
Palmeiras,Palmeiras,PAL,20,Brasileirão Série A,Brazil
Sporting,Sporting,SCP,1,Liga Portugal Betclic,Portugal
Benfica,Benfica,SLB,2,Liga Portugal Betclic,Portugal
FC Porto,Porto,FCP,3,Liga Portugal Betclic,Portugal
Sporting Braga,Braga,SCB,4,Liga Portugal Betclic,Portugal
Vitória SC,Vitória,VIT,5,Liga Portugal Betclic,Portugal
Moreirense,Moreirense,MOR,6,Liga Portugal Betclic,Portugal
Arouca,Arouca,ARO,7,Liga Portugal Betclic,Portugal
Famalicão,Famalicão,FAM,8,Liga Portugal Betclic,Portugal
Casa Pia,Casa Pia,CAS,10,Liga Portugal Betclic,Portugal
SC Farense,Farense,FAR,10,Liga Portugal Betclic,Portugal
Boavista,Boavista,BFC,11,Liga Portugal Betclic,Portugal
Gil Vicente,Gil Vicente,GIL,12,Liga Portugal Betclic,Portugal
Estoril Praia,Estoril,EST,13,Liga Portugal Betclic,Portugal
Rio Ave,Rio Ave,RAV,14,Liga Portugal Betclic,Portugal
CF Estrela Amadora,Estrela Amadora,EST,15,Liga Portugal Betclic,Portugal
Portimonense,Portimonense,POR,16,Liga Portugal Betclic,Portugal
Vizela,Vizela,VIZ,17,Liga Portugal Betclic,Portugal
Chaves,Chaves,CHA,18,Liga Portugal Betclic,Portugal
PSV Eindhoven,PSV,PSV,1,Eredivisie,Netherlands
Feyenoord,Feyenoord,FEY,2,Eredivisie,Netherlands
FC Twente,Twente,TWE,3,Eredivisie,Netherlands
AZ Alkmaar,AZ,AZA,4,Eredivisie,Netherlands
Ajax,Ajax,AJA,5,Eredivisie,Netherlands
NEC Nijmegen,NEC,NIJ,6,Eredivisie,Netherlands
Go Ahead Eagles,GA Eagles,GAE,7,Eredivisie,Netherlands
FC Utrecht,Utrecht,FCU,8,Eredivisie,Netherlands
Sparta Rotterdam,Sparta,SPA,9,Eredivisie,Netherlands
Fortuna Sittard,Fortuna,FOR,10,Eredivisie,Netherlands
SC Heerenveen,Heerenveen,HEE,11,Eredivisie,Netherlands
Almere City FC,Almere City,ALM,12,Eredivisie,Netherlands
Heracles Almelo,Heracles,HER,13,Eredivisie,Netherlands
PEC Zwolle,Zwolle,ZWO,14,Eredivisie,Netherlands
RKC Waalwijk,Waalwijk,WAA,15,Eredivisie,Netherlands
Excelsior,Excelsior,EXC,16,Eredivisie,Netherlands
Vitesse,Vitesse,VIT,17,Eredivisie,Netherlands
FC Volendam,Volendam,VOL,18,Eredivisie,Netherlands
Real Madrid,Real Madrid,RMA,1,LaLiga,Spain
Barcelona,Barcelona,FCB,2,LaLiga,Spain
Girona FC,Girona,GIR,3,LaLiga,Spain
Atlético Madrid,Atl. Madrid,ATM,4,LaLiga,Spain
Athletic Club,Athletic Club,ATH,5,LaLiga,Spain
Real Sociedad,Real Sociedad,RSO,6,LaLiga,Spain
Valencia,Valencia,VCF,7,LaLiga,Spain
Real Betis,Betis,RBB,8,LaLiga,Spain
Osasuna,Osasuna,OSA,9,LaLiga,Spain
Villarreal,Villarreal,VIL,10,LaLiga,Spain
Getafe,Getafe,GET,11,LaLiga,Spain
Las Palmas,Las Palmas,LPA,12,LaLiga,Spain
Deportivo Alavés,Alavés,ALA,13,LaLiga,Spain
Sevilla,Sevilla,SEV,14,LaLiga,Spain
Mallorca,Mallorca,MLL,15,LaLiga,Spain
Rayo Vallecano,Rayo Vallecano,RVM,16,LaLiga,Spain
Celta Vigo,Celta,RCC,17,LaLiga,Spain
Cádiz,Cádiz,CAD,18,LaLiga,Spain
Granada,Granada,GCF,19,LaLiga,Spain
Almería,Almería,ALM,20,LaLiga,Spain
Inter,Inter,INT,1,Serie A,Italy
Milan,Milan,ACM,2,Serie A,Italy
Juventus,Juventus,JUV,3,Serie A,Italy
Bologna,Bologna,BFC,4,Serie A,Italy
Roma,Roma,ASR,5,Serie A,Italy
Atalanta,Atalanta,ATA,6,Serie A,Italy
Lazio,Lazio,LAZ,7,Serie A,Italy
Napoli,Napoli,NAP,8,Serie A,Italy
Torino,Torino,TOR,9,Serie A,Italy
Fiorentina,Fiorentina,ACF,10,Serie A,Italy
Monza,Monza,MON,11,Serie A,Italy
Genoa,Genoa,GEN,12,Serie A,Italy
Lecce,Lecce,LEC,13,Serie A,Italy
Udinese,Udinese,UDI,14,Serie A,Italy
Hellas Verona,Verona,VER,15,Serie A,Italy
Cagliari,Cagliari,CAG,16,Serie A,Italy
Frosinone,Frosinone,FRO,17,Serie A,Italy
Sassuolo,Sassuolo,SAS,18,Serie A,Italy
Empoli,Empoli,EMP,19,Serie A,Italy
Salernitana,Salernitana,SAL,20,Serie A,Italy
HNK Rijeka,Rijeka,RIJ,1,HNL,Croatia
