market_value,age,height,preferred_foot,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M
7400,22,189,1,68,55,51,33,49,0,0,0,0,7.14,33,1858.0,0,1,0,0
2500,25,179,2,62,48,54,32,47,0,0,0,0,6.86,37,1858.0,0,1,0,0
1200,22,184,2,64,51,45,29,48,0,0,0,0,6.8,34,1858.0,0,1,0,0
2900,22,182,1,58,60,47,38,59,0,0,0,0,6.88,37,1858.0,0,0,0,1
1200,28,187,2,55,50,41,33,44,0,0,0,0,6.82,38,1858.0,0,0,0,1
3100,23,166,1,53,55,39,49,56,0,0,0,0,6.88,40,1858.0,0,0,0,1
775,30,173,1,60,56,50,42,57,0,0,0,0,7.02,38,1858.0,0,0,0,1
1500,24,170,2,51,55,41,49,51,0,0,0,0,6.85,37,1858.0,0,0,0,1
1800,26,171,2,49,54,53,54,54,0,0,0,0,6.87,37,1858.0,0,0,0,1
1200,27,178,2,58,49,40,36,53,0,0,0,0,6.82,17,1858.0,0,0,0,1
265,30,169,2,45,48,57,67,50,0,0,0,0,6.81,11,1858.0,1,0,0,0
1900,24,180,2,37,42,58,71,33,0,0,0,0,6.92,37,1858.0,1,0,0,0
635,30,184,2,33,43,58,74,38,0,0,0,0,6.74,15,1858.0,1,0,0,0
360,31,185,2,37,47,60,71,44,0,0,0,0,6.84,22,1858.0,1,0,0,0
360,34,176,2,35,41,55,66,41,0,0,0,0,6.74,28,1858.0,1,0,0,0
715,30,173,1,40,44,48,65,47,0,0,0,0,6.87,31,1858.0,1,0,0,0
290,34,184,1,0,0,54,0,0,65,51,62,61,7.19,42,1858.0,0,0,1,0
3300,25,172,2,67,55,47,34,50,0,0,0,0,6.92,38,1858.0,0,1,0,0
655,24,180,2,56,52,40,42,49,0,0,0,0,6.9,27,1858.0,0,1,0,0
640,28,181,2,62,41,34,23,40,0,0,0,0,6.62,32,1858.0,0,1,0,0
540,24,178,2,62,66,41,25,49,0,0,0,0,7.03,38,1858.0,0,1,0,0
4500,25,181,1,59,62,54,47,67,0,0,0,0,7.23,35,1858.0,0,0,0,1
410,23,173,2,47,49,38,50,46,0,0,0,0,6.73,25,1858.0,0,0,0,1
765,24,177,2,50,52,51,56,54,0,0,0,0,6.97,33,1858.0,0,0,0,1
360,33,181,2,54,57,49,55,54,0,0,0,0,6.9,39,1858.0,0,0,0,1
640,27,165,2,45,45,36,51,44,0,0,0,0,6.75,37,1858.0,0,0,0,1
360,35,185,2,47,50,50,56,51,0,0,0,0,6.9,31,1858.0,0,0,0,1
765,22,181,2,35,47,54,67,35,0,0,0,0,6.7,19,1858.0,1,0,0,0
3400,20,186,1,33,42,53,68,34,0,0,0,0,6.82,35,1858.0,1,0,0,0
465,28,182,2,38,44,45,68,39,0,0,0,0,6.91,30,1858.0,1,0,0,0
430,32,178,1,39,46,48,63,45,0,0,0,0,6.94,37,1858.0,1,0,0,0
275,28,178,1,38,45,46,65,41,0,0,0,0,6.73,27,1858.0,1,0,0,0
1600,28,191,2,0,0,51,0,0,59,44,52,60,7.1,32,1858.0,0,0,1,0
1300,25,185,2,0,0,60,0,0,58,47,52,63,6.88,30,1858.0,0,0,1,0
1000,37,184,2,63,49,48,37,45,0,0,0,0,6.83,30,1858.0,0,1,0,0
5200,21,174,2,67,56,38,26,60,0,0,0,0,7.01,16,1858.0,0,1,0,0
725,33,175,2,65,50,49,30,45,0,0,0,0,6.76,41,1858.0,0,1,0,0
4500,28,179,2,66,53,51,34,46,0,0,0,0,7.0,46,1858.0,0,1,0,0
4500,21,172,2,63,53,46,30,46,0,0,0,0,6.65,24,1858.0,0,1,0,0
2100,29,171,2,59,50,41,31,51,0,0,0,0,6.69,38,1858.0,0,1,0,0
2400,22,181,2,64,69,43,38,58,0,0,0,0,6.86,21,1858.0,0,1,0,0
520,28,179,2,58,44,44,36,42,0,0,0,0,6.68,18,1858.0,0,1,0,0
9300,21,178,2,54,58,42,44,53,0,0,0,0,6.91,44,1858.0,0,0,0,1
9300,21,178,1,48,53,44,48,53,0,0,0,0,6.95,33,1858.0,0,0,0,1
1300,27,175,2,46,54,48,53,46,0,0,0,0,6.79,34,1858.0,0,0,0,1
2700,23,184,2,52,55,32,34,52,0,0,0,0,6.71,25,1858.0,0,0,0,1
5600,22,177,1,56,58,48,49,61,0,0,0,0,7.22,37,1858.0,0,0,0,1
1700,32,178,2,52,55,52,58,59,0,0,0,0,6.96,39,1858.0,0,0,0,1
680,30,174,1,47,50,33,43,51,0,0,0,0,6.79,13,1858.0,0,0,0,1
1100,34,177,2,45,52,53,63,51,0,0,0,0,6.94,42,1858.0,1,0,0,0
1500,34,187,1,37,47,51,71,36,0,0,0,0,6.78,18,1858.0,1,0,0,0
675,33,174,1,42,52,50,68,51,0,0,0,0,6.86,31,1858.0,1,0,0,0
6200,23,184,1,36,43,46,69,34,0,0,0,0,6.82,34,1858.0,1,0,0,0
1900,25,176,1,45,48,29,50,55,0,0,0,0,6.75,25,1858.0,1,0,0,0
1500,25,172,1,41,51,37,54,51,0,0,0,0,6.7,27,1858.0,1,0,0,0
3600,30,180,2,37,47,56,74,36,0,0,0,0,6.91,41,1858.0,1,0,0,0
2400,27,183,2,43,48,42,63,47,0,0,0,0,6.99,30,1858.0,1,0,0,0
1300,33,190,2,39,48,58,69,42,0,0,0,0,7.2,40,1858.0,1,0,0,0
435,37,192,2,0,0,65,0,0,72,52,58,61,7.21,45,1858.0,0,0,1,0
2000,27,184,2,65,48,54,35,45,0,0,0,0,7.03,38,1858.0,0,1,0,0
655,31,185,2,63,42,42,25,48,0,0,0,0,6.79,35,1858.0,0,1,0,0
420,24,176,2,56,70,30,29,49,0,0,0,0,7.01,28,1858.0,0,1,0,0
570,26,181,2,46,49,48,50,43,0,0,0,0,6.88,31,1858.0,0,0,0,1
760,24,175,1,52,47,46,46,52,0,0,0,0,6.85,27,1858.0,0,0,0,1
825,31,185,2,48,52,60,67,46,0,0,0,0,6.77,10,1858.0,0,0,0,1
1400,28,175,2,54,56,34,37,53,0,0,0,0,6.74,26,1858.0,0,0,0,1
190,35,175,2,48,50,45,49,51,0,0,0,0,6.77,26,1858.0,0,0,0,1
2600,22,172,1,36,41,52,68,38,0,0,0,0,6.97,32,1858.0,1,0,0,0
315,32,181,1,39,53,50,70,40,0,0,0,0,6.97,39,1858.0,1,0,0,0
1600,26,183,2,35,41,62,77,37,0,0,0,0,6.92,37,1858.0,1,0,0,0
480,28,184,1,34,45,54,64,37,0,0,0,0,6.74,27,1858.0,1,0,0,0
120,40,183,2,0,0,45,0,0,70,46,57,58,7.05,13,1858.0,0,0,1,0
440,34,180,2,63,52,42,32,50,0,0,0,0,6.72,34,1858.0,0,1,0,0
370,29,171,2,60,49,46,31,48,0,0,0,0,6.65,21,1858.0,0,1,0,0
430,27,185,2,57,45,45,32,37,0,0,0,0,6.73,33,1858.0,0,1,0,0
370,22,180,2,58,41,31,30,43,0,0,0,0,6.61,18,1858.0,0,1,0,0
625,22,171,2,52,54,32,42,53,0,0,0,0,6.71,16,1858.0,0,0,0,1
580,25,172,2,53,47,31,43,55,0,0,0,0,6.73,32,1858.0,0,0,0,1
1700,25,165,2,45,49,41,51,47,0,0,0,0,6.73,36,1858.0,0,0,0,1
515,23,177,2,48,59,44,51,43,0,0,0,0,6.89,22,1858.0,0,0,0,1
725,23,181,2,45,41,49,56,47,0,0,0,0,6.92,27,1858.0,0,0,0,1
310,23,170,2,55,65,35,36,57,0,0,0,0,7.34,25,1858.0,0,0,0,1
52,33,169,2,46,44,55,60,43,0,0,0,0,6.78,26,1858.0,0,0,0,1
460,25,184,2,34,41,48,71,34,0,0,0,0,6.87,27,1858.0,1,0,0,0
535,26,179,1,44,46,47,64,52,0,0,0,0,6.86,38,1858.0,1,0,0,0
525,24,187,1,34,49,42,54,36,0,0,0,0,6.69,20,1858.0,1,0,0,0
170,24,185,1,36,47,56,65,40,0,0,0,0,7.18,22,1858.0,1,0,0,0
430,33,188,2,0,0,55,0,0,62,46,53,63,7.03,32,1858.0,0,0,1,0
3400,29,189,2,68,44,50,28,45,0,0,0,0,7.06,34,1858.0,0,1,0,0
270,35,183,0,74,49,47,26,55,0,0,0,0,6.59,17,1858.0,0,1,0,0
195,35,179,2,60,42,39,30,47,0,0,0,0,6.68,20,1858.0,0,1,0,0
195,36,182,2,59,41,38,37,46,0,0,0,0,6.64,18,1858.0,0,1,0,0
1000,25,172,2,54,57,34,36,49,0,0,0,0,6.69,38,1858.0,0,0,0,1
1500,24,169,1,56,49,40,41,55,0,0,0,0,6.95,27,1858.0,0,0,0,1
1200,21,173,2,55,58,35,35,47,0,0,0,0,6.65,21,1858.0,0,0,0,1
5200,25,169,2,58,63,40,38,65,0,0,0,0,7.17,41,1858.0,0,0,0,1
620,29,178,2,46,51,33,46,44,0,0,0,0,6.68,29,1858.0,0,0,0,1
1900,27,175,1,56,49,38,37,51,0,0,0,0,6.71,44,1858.0,0,0,0,1
4100,25,177,2,44,48,52,59,48,0,0,0,0,6.84,43,1858.0,0,0,0,1
1500,30,174,1,46,48,48,53,48,0,0,0,0,6.74,24,1858.0,0,0,0,1
410,32,174,1,55,56,47,48,60,0,0,0,0,6.68,16,1858.0,0,0,0,1
53,38,176,1,47,48,48,54,51,0,0,0,0,6.78,14,1858.0,0,0,0,1
670,25,175,1,38,44,33,52,44,0,0,0,0,6.6,32,1858.0,1,0,0,0
3300,23,176,2,44,52,46,62,47,0,0,0,0,6.9,39,1858.0,1,0,0,0
825,23,191,1,35,48,50,64,39,0,0,0,0,6.85,23,1858.0,1,0,0,0
230,34,178,1,42,51,56,69,50,0,0,0,0,6.94,28,1858.0,1,0,0,0
165,35,185,2,35,45,60,70,39,0,0,0,0,6.73,33,1858.0,1,0,0,0
190,31,191,2,34,46,57,66,39,0,0,0,0,7.14,26,1858.0,1,0,0,0
2900,30,188,2,0,0,56,0,0,61,47,61,66,7.04,39,1858.0,0,0,1,0
1300,27,185,1,0,0,58,0,0,61,50,59,65,6.92,26,1858.0,0,0,1,0
