name,country,points,path
Manchester City,England,146.0,/manchester-city/17
FC Bayern München,Germany,139.0,/fc-bayern-munchen/2672
Real Madrid,Spain,127.0,/real-madrid/2829
Paris Saint-Germain,France,113.0,/paris-saint-germain/1644
Liverpool,England,112.0,/liverpool/44
Inter,Italy,101.0,/inter/2697
RB Leipzig,Germany,97.0,/rb-leipzig/36360
Chelsea,England,96.0,/chelsea/38
Roma,Italy,95.0,/roma/2702
Manchester United,England,92.0,/manchester-united/35
Borussia Dortmund,Germany,89.0,/borussia-dortmund/2673
Barcelona,Spain,89.0,/barcelona/2817
Atlético Madrid,Spain,87.0,/atletico-madrid/2836
Sevilla,Spain,84.0,/sevilla/2833
Bayer 04 Leverkusen,Germany,82.0,/bayer-04-leverkusen/2681
Villarreal,Spain,82.0,/villarreal/2819
Juventus,Italy,80.0,/juventus/2687
Napoli,Italy,80.0,/napoli/2714
FC Porto,Portugal,77.0,/fc-porto/3002
Benfica,Portugal,77.0,/benfica/3006
Atalanta,Italy,72.0,/atalanta/2686
Arsenal,England,71.0,/arsenal/42
West Ham United,England,68.0,/west-ham-united/37
Ajax,Netherlands,67.0,/ajax/2953
Rangers,Scotland,63.0,/rangers/2351
Eintracht Frankfurt,Germany,60.0,/eintracht-frankfurt/2674
Milan,Italy,59.0,/milan/2692
Club Brugge KV,Belgium,58.0,/club-brugge-kv/2888
Feyenoord,Netherlands,57.0,/feyenoord/2959
Sporting,Portugal,54.5,/sporting/3001
PSV Eindhoven,Netherlands,54.0,/psv-eindhoven/2952
Tottenham Hotspur,England,54.0,/tottenham-hotspur/33
Lazio,Italy,54.0,/lazio/2699
Basel,Switzerland,52.0,/basel/2501
Real Sociedad,Spain,51.0,/real-sociedad/2824
GNK Dinamo Zagreb,Croatia,50.0,/gnk-dinamo-zagreb/2032
AZ Alkmaar,Netherlands,50.0,/az-alkmaar/2950
Sporting Braga,Portugal,49.0,/sporting-braga/2999
Lille,France,45.0,/lille/1643
Gent,Belgium,45.0,/gent/2903
Olympique de Marseille,France,44.0,/olympique-de-marseille/1641
Olympique Lyonnais,France,44.0,/olympique-lyonnais/1649
Stade Rennais,France,43.0,/stade-rennais/1658
FK Crvena zvezda,Serbia,40.0,/fk-crvena-zvezda/5149
