name,club,nationality,birth_date,age,height,preferred_foot,position,shirt_number,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months
Erling Haaland,Manchester City,NOR,21 Jul 2000,23 yrs,194 cm,Left,F,9,84,65,74,33,56,0,0,0,0,7.15,54
Julián Álvarez,Manchester City,ARG,31 Jan 2000,24 yrs,170 cm,Right,F,19,77,65,56,32,69,0,0,0,0,7.32,57
Jack Grealish,Manchester City,ENG,10 Sept 1995,28 yrs,180 cm,Right,F,10,72,78,58,42,76,0,0,0,0,7.3,40
Jérémy Doku,Manchester City,BEL,27 May 2002,21 yrs,173 cm,Right,F,11,77,96,53,41,75,0,0,0,0,7.45,47
Kevin De Bruyne,Manchester City,BEL,28 Jun 1991,32 yrs,181 cm,Right,M,17,87,86,59,34,99,0,0,0,0,7.66,22
Phil Foden,Manchester City,ENG,28 May 2000,23 yrs,171 cm,Left,M,47,76,76,60,38,78,0,0,0,0,7.55,64
Bernardo Silva,Manchester City,POR,10 Aug 1994,29 yrs,173 cm,Left,M,20,69,71,60,43,72,0,0,0,0,7.39,55
Rodri,Manchester City,ESP,22 Jun 1996,27 yrs,191 cm,Right,M,16,64,78,81,68,74,0,0,0,0,7.83,56
Mateo Kovačić,Manchester City,CRO,6 May 1994,29 yrs,178 cm,Right,M,8,55,65,44,42,64,0,0,0,0,7.0,45
Matheus Nunes,Manchester City,POR,27 Aug 1998,25 yrs,183 cm,Right,M,27,60,70,44,37,68,0,0,0,0,7.09,29
Rico Lewis,Manchester City,ENG,21 Nov 2004,19 yrs,170 cm,Right,M,82,49,54,47,50,59,0,0,0,0,6.95,31
Sergio Gómez,Manchester City,ESP,4 Sept 2000,23 yrs,171 cm,Left,M,21,55,56,48,57,60,0,0,0,0,7.11,19
Oscar Bobb,Manchester City,NOR,12 Jul 2003,20 yrs,174 cm,Left,M,52,59,68,46,35,61,0,0,0,0,7.14,28
Joško Gvardiol,Manchester City,CRO,23 Jan 2002,22 yrs,186 cm,Left,D,24,41,57,66,70,52,0,0,0,0,7.1,41
Rúben Dias,Manchester City,POR,14 May 1997,26 yrs,188 cm,Right,D,3,37,50,73,79,47,0,0,0,0,7.22,52
Kyle Walker,Manchester City,ENG,28 May 1990,33 yrs,183 cm,Right,D,2,43,56,58,62,55,0,0,0,0,7.1,57
John Stones,Manchester City,ENG,28 May 1994,29 yrs,188 cm,Right,D,5,44,53,67,67,51,0,0,0,0,6.94,35
Nathan Aké,Manchester City,NED,18 Feb 1995,29 yrs,180 cm,Left,D,6,42,50,64,75,45,0,0,0,0,7.07,49
Manuel Akanji,Manchester City,SUI,19 Jul 1995,28 yrs,187 cm,Right,D,25,42,53,67,69,48,0,0,0,0,7.13,53
