club,player_link
Argentinos Juniors,/player/luciano-gondou/1096378
Argentinos Juniors,/player/maximiliano-romero/792585
Argentinos Juniors,/player/gaston-veron/924198
Argentinos Juniors,/player/jose-herrera/1179171
Argentinos Juniors,/player/matias-perello/1117084
Argentinos Juniors,/player/mateo-diaz-chaves/1485242
Argentinos Juniors,/player/alan-lescano/1186068
Argentinos Juniors,/player/leonardo-heredia/895720
Argentinos Juniors,/player/montiel-santiago/1065611
Argentinos Juniors,/player/nicolas-oroz/558790
Argentinos Juniors,/player/alan-rodriguez/874576
Argentinos Juniors,/player/franco-moyano/901471
Argentinos Juniors,/player/damian-batallini/830885
Argentinos Juniors,/player/ariel-gamarra/1412474
Argentinos Juniors,/player/emiliano-viveros/1117022
Argentinos Juniors,/player/elias-peralta/1485206
Argentinos Juniors,/player/roman-vega/1109356
Argentinos Juniors,/player/tobias-palacio/1482389
Argentinos Juniors,/player/luciano-sanchez/933158
Argentinos Juniors,/player/francisco-alvarez/871788
Argentinos Juniors,/player/erik-godoy/249427
Argentinos Juniors,/player/santamaria-thiago/1179177
Argentinos Juniors,/player/jonathan-galvan/789271
Argentinos Juniors,/player/jairo-oneil/1112897
Argentinos Juniors,/player/fernando-meza/33943
Argentinos Juniors,/player/sebastian-prieto/946305
Argentinos Juniors,/player/coronel-kevin/1485234
Argentinos Juniors,/player/jairo-sebastian-oneil-lopez/1836148
Argentinos Juniors,/player/diego-rodriguez/38266
Argentinos Juniors,/player/miguel-acosta/1017452
Argentinos Juniors,/player/gonzalo-siri-payer/1179169
Atlético Tucumán,/player/mateo-coronel/898982
Atlético Tucumán,/player/marcelo-estigarribia/943166
Atlético Tucumán,/player/justo-giani/932866
Atlético Tucumán,/player/servetto-nicolas/838304
Atlético Tucumán,/player/mateo-bajamich/994451
Atlético Tucumán,/player/bonfiglio-francisco/1214434
Atlético Tucumán,/player/ambrogio-lucas/1097567
Atlético Tucumán,/player/joaquin-pereyra/832213
Atlético Tucumán,/player/tomas-castro-ponce/1065612
Atlético Tucumán,/player/carrasco-julian/1471245
Atlético Tucumán,/player/ortiz-sergio/1199248
Atlético Tucumán,/player/adrian-sanchez/1009957
Atlético Tucumán,/player/nicolas-castro/896985
Atlético Tucumán,/player/renzo-tesuri/897044
Atlético Tucumán,/player/guillermo-acosta/830747
Atlético Tucumán,/player/sergio-fabian-ortiz/1390555
Atlético Tucumán,/player/alexis-francisco-flores/1003008
Atlético Tucumán,/player/nicolas-romero/1102816
Atlético Tucumán,/player/gianluca-ferrari/945103
Atlético Tucumán,/player/agustin-lagos/993929
Atlético Tucumán,/player/nestor-breitenbruch/579356
Atlético Tucumán,/player/matias-orihuela/584422
Atlético Tucumán,/player/gonzalo-paz/1109995
Atlético Tucumán,/player/juan-infante/941542
Atlético Tucumán,/player/brandan-moises/1805117
Atlético Tucumán,/player/jose-devecchi/578460
Atlético Tucumán,/player/tomas-durso/895734
Atlético Tucumán,/player/alexis-rad/1650439
Boca Juniors,/player/edinson-cavani/21521
Boca Juniors,/player/exequiel-zeballos/1003011
Boca Juniors,/player/dario-benedetto/122630
Boca Juniors,/player/miguel-merentiel/892275
Boca Juniors,/player/luca-langoni/1199278
Boca Juniors,/player/lucas-janson/249843
Boca Juniors,/player/vicente-taborda/1131037
Boca Juniors,/player/norberto-briasco/848619
Boca Juniors,/player/cristian-medina/1003010
Boca Juniors,/player/ezequiel-fernandez/1003012
Boca Juniors,/player/jorman-campuzano/924420
Boca Juniors,/player/ezequiel-bullaude/960077
Boca Juniors,/player/kevin-zenon/989863
Boca Juniors,/player/pol-fernandez/250231
Boca Juniors,/player/juan-ramirez/174961
Boca Juniors,/player/mauricio-benitez/1402224
Boca Juniors,/player/luis-advincula/149850
Boca Juniors,/player/marcos-rojo/46998
Boca Juniors,/player/frank-fabra/247741
Boca Juniors,/player/nicolas-valentini/1116570
Boca Juniors,/player/lautaro-blanco/989865
Boca Juniors,/player/marcelo-saracchi/796444
Boca Juniors,/player/anselmino-aaron/1500263
Boca Juniors,/player/nicolas-figal/579350
Boca Juniors,/player/lucas-blondel/860003
Boca Juniors,/player/cristian-lema/106384
Boca Juniors,/player/sergio-romero/25566
Boca Juniors,/player/leandro-brey/1182102
Boca Juniors,/player/javier-garcia/31967
Banfield,/player/milton-gimenez/1092308
Banfield,/player/bruno-sepulveda/981451
Banfield,/player/quintana-silva-juan-ignacio/1019570
Banfield,/player/alexander-bundgaard/1650789
Banfield,/player/rivera-geronimo/1498863
Banfield,/player/calleros-yvo/978872
Banfield,/player/braian-galvan/896247
Banfield,/player/matias-gonzalez/1087041
Banfield,/player/ezequiel-canete/1017455
Banfield,/player/alejandro-cabrera/981449
Banfield,/player/bizans-juan/1104322
Banfield,/player/cristian-nunez/991476
Banfield,/player/juan-alvarez/881912
Banfield,/player/lautaro-rios/1087089
Banfield,/player/jesus-miguel-soraire/943997
Banfield,/player/federico-medina/1652354
Banfield,/player/aaron-quiros/1113232
Banfield,/player/gabriel-aranda/1131027
Banfield,/player/emanuel-insua/250345
Banfield,/player/alejandro-maciel/895336
Banfield,/player/luciano-recalde/896879
Banfield,/player/alexis-maldonado/888848
Banfield,/player/franco-quinteros/926415
Banfield,/player/ezequiel-bonifacio/583978
Banfield,/player/mateo-perez/1112348
Banfield,/player/cardozo-lautaro/1650790
Banfield,/player/marcelo-barovero/80866
Banfield,/player/facundo-sanguinetti/1086977
Barracas Central,/player/ramon-abila/788935
Barracas Central,/player/jhonatan-candia/877628
Barracas Central,/player/alexis-dominguez/879625
Barracas Central,/player/daniel-juarez/1021875
Barracas Central,/player/aguirre-federico/1471244
Barracas Central,/player/alan-cantero/1084961
Barracas Central,/player/maximiliano-zalazar/1067653
Barracas Central,/player/manuel-duarte/1117075
Barracas Central,/player/lucas-brochero/1084971
Barracas Central,/player/facundo-mater/896753
Barracas Central,/player/siro-rosane/1086976
Barracas Central,/player/velurtas-pedro/1158788
Barracas Central,/player/rodrigo-herrera/1067815
Barracas Central,/player/santiago-coronel/1116122
Barracas Central,/player/maximiliano-puig/1118095
Barracas Central,/player/matias-laba/146950
Barracas Central,/player/carlos-arce/992061
Barracas Central,/player/marco-iacobellis/992100
Barracas Central,/player/bahiano-garcia/1465276
Barracas Central,/player/lopez-lucas/1020575
Barracas Central,/player/garcia-bahiano-benjamin/1597491
Barracas Central,/player/gonzalo-goni/871805
Barracas Central,/player/rodrigo-insua/1020511
Barracas Central,/player/nicolas-demartini/895365
Barracas Central,/player/capraro-nicolas/1190570
Barracas Central,/player/nicolas-tolosa/1179176
Barracas Central,/player/agustin-irazoque/1104114
Barracas Central,/player/faggioli-lucas/1183699
Barracas Central,/player/sebastian-moyano/147578
Barracas Central,/player/marcelo-agustin-mino/875438
Barracas Central,/player/rafael-ferrario/941085
Belgrano,/player/lucas-passerini/579316
Belgrano,/player/matias-suarez/46007
Belgrano,/player/nicolas-schiappacasse/831286
Belgrano,/player/franco-jara/40776
Belgrano,/player/pablo-chavarria/121973
Belgrano,/player/ignacio-tapia/1118269
Belgrano,/player/bryan-reyna/883747
Belgrano,/player/matias-marin/874589
Belgrano,/player/lautaro-pastran/1199243
Belgrano,/player/ulises-sanchez/992114
Belgrano,/player/esteban-rolon/816808
Belgrano,/player/francisco-gonzalez-metilli/896773
Belgrano,/player/longo-santiago/990171
Belgrano,/player/facundo-quignon/340731
Belgrano,/player/matias-garcia/340863
Belgrano,/player/jeremias-lucco/1518447
Belgrano,/player/matias-palavecino/973560
Belgrano,/player/ariel-rojas/147583
Belgrano,/player/facundo-lencioni/1516347
Belgrano,/player/alex-ibacache/925222
Belgrano,/player/juan-barinaga/974729
Belgrano,/player/nicolas-meriano/1117093
Belgrano,/player/rafael-delgado/799653
Belgrano,/player/matias-moreno/1523102
Belgrano,/player/francisco-facello/1464854
Belgrano,/player/alejandro-rebola/830672
Belgrano,/player/gonzalo-maffini/992968
Belgrano,/player/nahuel-losada/384552
Belgrano,/player/ignacio-chicco/875398
Belgrano,/player/daniele-matias/1835269
Central Córdoba,/player/matias-godoy/1003016
Central Córdoba,/player/mateo-sanabria/1182233
Central Córdoba,/player/brandon-cortes/980767
Central Córdoba,/player/tomas-molina/833194
Central Córdoba,/player/thiago-nuss/1092599
Central Córdoba,/player/florian-monzon/989849
Central Córdoba,/player/ocampos-cristhian/979769
Central Córdoba,/player/gonzalo-alvez/1462234
Central Córdoba,/player/camilo-viganoni/1485722
Central Córdoba,/player/agustin-diaz/1645921
Central Córdoba,/player/atencio-rodrigo/1199246
Central Córdoba,/player/walter-montoya/341077
Central Córdoba,/player/harrinson-mancilla/869952
Central Córdoba,/player/kevin-vazquez/1406468
Central Córdoba,/player/dardo-miloc/122713
Central Córdoba,/player/enzo-kalinski/249667
Central Córdoba,/player/manuel-garcia/1105366
Central Córdoba,/player/oscar-garrido/992978
Central Córdoba,/player/franco-caceres/1131026
Central Córdoba,/player/jorge-meza/1117995
Central Córdoba,/player/agustin-morales/1126750
Central Córdoba,/player/cansinos-ramon/1386653
Central Córdoba,/player/andres-ferro/1108671
Central Córdoba,/player/federico-andueza/789945
Central Córdoba,/player/pablo-minissale/1017448
Central Córdoba,/player/santiago-laquidain/1102827
Central Córdoba,/player/brian-leizza/1016644
Central Córdoba,/player/fernando-torrent/943996
Central Córdoba,/player/juan-meli/1087034
Central Córdoba,/player/lautaro-montoya/830657
Central Córdoba,/player/valdez-sebastian/896783
Central Córdoba,/player/jose-gomez/1526534
Central Córdoba,/player/leonardo-marchi/947210
Central Córdoba,/player/juarez-sergio/989800
Central Córdoba,/player/andres-mehring/332773
Central Córdoba,/player/luis-ingolotti/871745
Huracán,/player/ignacio-pussetto/340509
Huracán,/player/leandro-garate/364980
Huracán,/player/perez-marcelo/980586
Huracán,/player/walter-mazzantti/861339
Huracán,/player/rodrigo-cabral/997539
Huracán,/player/sebastian-ramirez/988856
Huracán,/player/williams-alarcon/936534
Huracán,/player/rodrigo-echeverria/339265
Huracán,/player/alan-sonora/985002
Huracán,/player/andres-roa/832707
Huracán,/player/franco-alfonso/1410924
Huracán,/player/pablo-siles/931631
Huracán,/player/hector-fertoli/831608
Huracán,/player/toledo-agustin/1115981
Huracán,/player/federico-fattori/789640
Huracán,/player/gomez-matias/1432630
Huracán,/player/hernan-de-la-fuente/912936
Huracán,/player/cesar-ibanez/988327
Huracán,/player/guillermo-burdisso/106490
Huracán,/player/fabio-pereyra/943995
Huracán,/player/fernando-tobio/80918
Huracán,/player/lucas-carrizo/871798
Huracán,/player/guillermo-benitez/830583
Huracán,/player/lucas-souto/1020523
Huracán,/player/leandro-figueredo/1404320
Huracán,/player/hernan-galindez/588618
Huracán,/player/sebastian-meza/1017440
Independiente,/player/gabriel-avalos/789453
Independiente,/player/maestro-puch-ignacio/1096798
Independiente,/player/matias-gimenez-rojas/977680
Independiente,/player/alexis-canelo/789663
Independiente,/player/santiago-hidalgo/1199247
Independiente,/player/rodrigo-marquez/1086993
Independiente,/player/salle-santiago/1461801
Independiente,/player/luna-alex-nahuel/1650791
Independiente,/player/gabriel-neves/875294
Independiente,/player/federico-mancuello/122615
Independiente,/player/ivan-marcone/122634
Independiente,/player/santiago-toloza/1018410
Independiente,/player/parmo-tomas/1650086
Independiente,/player/lucas-gonzalez/985019
Independiente,/player/alex-luna/1094228
Independiente,/player/jhonny-quinonez/881847
Independiente,/player/ruiz-javier/1512540
Independiente,/player/ruben-martinez/1484796
Independiente,/player/mauricio-isla/32891
Independiente,/player/felipe-aguilar/329577
Independiente,/player/julio-buffarini/249657
Independiente,/player/edgar-elizalde/874565
Independiente,/player/ayrton-costa/976485
Independiente,/player/joaquin-laso/789853
Independiente,/player/damian-perez/39697
Independiente,/player/adrian-sporle/838847
Independiente,/player/fedorco-juan-manuel/1653141
Independiente,/player/fernando-da-rosa/1199240
Independiente,/player/rodrigo-rey/158249
Independiente,/player/diego-segovia/1117018
Independiente,/player/tasso-manuel/1466135
Lanús,/player/walter-bou/558816
Lanús,/player/leandro-diaz/107397
Lanús,/player/augusto-lotti/824456
Lanús,/player/torres-jonathan/802861
Lanús,/player/alex-chamorro/1836925
Lanús,/player/edwin-schulz/1836926
Lanús,/player/jeremias-chavero/1836928
Lanús,/player/luca-kmet/1836929
Lanús,/player/thiago-balbuena/1836931
Lanús,/player/marcelino-moreno/848472
Lanús,/player/felipe-pena-biafore/1065594
Lanús,/player/maximiliano-gonzalez/1150471
Lanús,/player/boggio-luciano/980190
Lanús,/player/raul-loaiza/991270
Lanús,/player/watson-franco/1018412
Lanús,/player/ramiro-carrera/340441
Lanús,/player/favio-alvarez/789695
Lanús,/player/lautaro-acosta/33256
Lanús,/player/agustin-rodriguez/1117166
Lanús,/player/agustin-medina/1836915
Lanús,/player/elias-brito/1836917
Lanús,/player/martin-gonzalez/1836930
Lanús,/player/leonel-di-placido/546338
Lanús,/player/juan-caceres/989801
Lanús,/player/braian-aguirre/1084963
Lanús,/player/julio-soler/1201520
Lanús,/player/perez-gonzalo/1048185
Lanús,/player/jose-canale/877452
Lanús,/player/nery-dominguez/341075
Lanús,/player/abel-luciatti/340727
Lanús,/player/ezequiel-munoz/42450
Lanús,/player/nicolas-thaller/875305
Lanús,/player/nicolas-morgantini/941545
Lanús,/player/fabricio-acosta/1836918
Lanús,/player/facunda-sanchez/1836919
Lanús,/player/luciano-romero/1836922
Lanús,/player/alan-aguerre/147351
Lanús,/player/lucas-acosta/340845
Lanús,/player/gustavo-calderari/1836920
Lanús,/player/evaristo-dieguiz/1836927
Platense,/player/juan-pablo-goicochea/1201015
Platense,/player/maximiliano-urruti/249995
Platense,/player/agustin-obando/922441
Platense,/player/ronaldo-martinez/874452
Platense,/player/pellegrino-mateo/1099296
Platense,/player/alan-marinelli/981690
Platense,/player/goicochea-del-carpio-juan-pablo/1424803
Platense,/player/luciano-ferreyra/1087068
Platense,/player/angulo-luis-miguel/1113346
Platense,/player/agustin-ocampo/936244
Platense,/player/ivan-gomez/849136
Platense,/player/carlos-villalba/975704
Platense,/player/leonel-picco/981350
Platense,/player/lisandro-montenegro/1466810
Platense,/player/gabriel-hachen/250015
Platense,/player/braian-rivero/817519
Platense,/player/facundo-russo/1102452
Platense,/player/fernando-juarez/851585
Platense,/player/ciro-rius/122642
Platense,/player/gabriel-gudino/849040
Platense,/player/cristian-ortiz/1650799
Platense,/player/sasha-marcich/992126
Platense,/player/ignacio-vazquez/883922
Platense,/player/oscar-salomon/992226
Platense,/player/gaston-suso/850925
Platense,/player/saborido-juan-ignacio/1104325
Platense,/player/bautista-barros-schelotto/1085929
Platense,/player/juan-pablo-pignani/1176234
Platense,/player/raul-lozano/884971
Platense,/player/gonzalo-valdivia/1185820
Platense,/player/joaquin-blazquez/940690
Platense,/player/juan-cozzani/874969
Platense,/player/quiroga-agustin/1484795
Platense,/player/nicolas-sumavil/1087017
River Plate,/player/miguel-borja/329601
River Plate,/player/agustin-ruberto/1482434
River Plate,/player/ian-subiabre/1482381
River Plate,/player/facundo-colidio/927308
River Plate,/player/ian-subiabre/1652982
River Plate,/player/echeverri-claudio/1482424
River Plate,/player/pablo-solari/1018450
River Plate,/player/esequiel-barco/848473
River Plate,/player/manuel-lanzini/220315
River Plate,/player/franco-mastantuono/1403559
River Plate,/player/nacho-fernandez/340861
River Plate,/player/gonzalo-martinez/789871
River Plate,/player/agustin-palavecino/941541
River Plate,/player/rodrigo-villagra/978563
River Plate,/player/matias-kranevitter/295159
River Plate,/player/nicolas-fonseca/944629
River Plate,/player/rodrigo-aliendro/830748
River Plate,/player/tobias-leiva/1607058
River Plate,/player/jonas-luna/1651673
River Plate,/player/paulo-diaz/790004
River Plate,/player/sebastian-boselli/1392092
River Plate,/player/santiago-simon/1091058
River Plate,/player/ramiro-funes-mori/252313
River Plate,/player/david-martinez/909479
River Plate,/player/milton-casco/122710
River Plate,/player/leandro-gonzalez-pirez/158259
River Plate,/player/enzo-diaz/932937
River Plate,/player/marcelo-herrera/954700
River Plate,/player/agustin-santanna/869726
River Plate,/player/daniel-zabala/1482286
River Plate,/player/franco-armani/221140
River Plate,/player/ezequiel-centurion/876134
River Plate,/player/lavagnino-lucas/1485238
Rosario Central,/player/luca-martinez-dupuy/1087100
Rosario Central,/player/abel-hernandez/48547
Rosario Central,/player/tobias-cervera/1086929
Rosario Central,/player/oviedo-fabricio/1382064
Rosario Central,/player/modica-agustin/1542680
Rosario Central,/player/juan-cruz-cerrudo/1117056
Rosario Central,/player/jaminton-campaz/877299
Rosario Central,/player/maximiliano-lovera/839582
Rosario Central,/player/franco-ibarra/989796
Rosario Central,/player/ignacio-malcorra/789427
Rosario Central,/player/lautaro-giaccone/1087087
Rosario Central,/player/tomas-oconnor/1117117
Rosario Central,/player/jonatan-gomez/986257
Rosario Central,/player/kevin-ortiz/1180814
Rosario Central,/player/francis-mac-allister/1089454
Rosario Central,/player/francesco-lo-celso/989850
Rosario Central,/player/mauricio-martinez/789402
Rosario Central,/player/dannovi-quinonez/1099610
Rosario Central,/player/giovanni-bogado/885536
Rosario Central,/player/ocampo-elias/1639945
Rosario Central,/player/quinones-dannovi/1652984
Rosario Central,/player/gaspar-duarte/1836623
Rosario Central,/player/felipe-carnicero/1836620
Rosario Central,/player/giovanni-cantizano/1836624
Rosario Central,/player/giovanni-cantizano/1836625
Rosario Central,/player/ignacio-moreno/1836627
