Eran Zahavi,1.2M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,25 Jul 1987,36 yrs,182 cm,Both,F,7,71,53,61,35,50,0,0,0,0,7.3,39
Milson,1.2M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ANG,12 Oct 1999,24 yrs,174 cm,Right,F,17,65,60,44,37,52,0,0,0,0,7.32,37
Dor Turgeman,1M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,24 Oct 2003,20 yrs,185 cm,Both,F,9,63,52,44,30,46,0,0,0,0,6.8,50
Yonas Malede,460K €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,14 Nov 1999,24 yrs,188 cm,Right,F,15,58,46,38,30,47,0,0,0,0,6.73,18
Osher Davida,1M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,18 Feb 2001,23 yrs,175 cm,Right,F,77,57,57,41,37,48,0,0,0,0,6.88,26
Dor Peretz,1.5M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,17 May 1995,28 yrs,185 cm,Right,M,42,52,50,44,47,50,0,0,0,0,7.14,41
Gabi Kanikovski,1.6M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,24 Aug 1997,26 yrs,165 cm,Right,M,16,59,60,50,50,62,0,0,0,0,7.45,43
Kiko Bondoso,825K €,Maccabi Tel Aviv,Israel,Israeli Premier League,POR,17 Nov 1995,28 yrs,171 cm,Right,M,70,57,54,43,37,60,0,0,0,0,6.78,20
Dan Biton,1.1M €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,20 Jul 1995,28 yrs,175 cm,Right,M,10,62,64,48,38,61,0,0,0,0,7.42,27
Joris van Overeem,425K €,Maccabi Tel Aviv,Israel,Israeli Premier League,NED,1 Jun 1994,29 yrs,181 cm,Right,M,14,45,47,45,55,45,0,0,0,0,6.96,34
Roy Revivo,825K €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,22 May 2003,20 yrs,183 cm,Left,D,3,39,47,45,62,45,0,0,0,0,6.98,46
Derrick Luckassen,1M €,Maccabi Tel Aviv,Israel,Israeli Premier League,NED,3 Jul 1995,28 yrs,186 cm,Right,D,25,34,47,53,64,39,0,0,0,0,7.01,18
Enric Saborit,480K €,Maccabi Tel Aviv,Israel,Israeli Premier League,ESP,27 Apr 1992,31 yrs,186 cm,Left,D,4,36,44,55,66,41,0,0,0,0,7.07,24
Orlando Mosquera,365K €,Maccabi Tel Aviv,Israel,Israeli Premier League,PAN,25 Dec 1994,29 yrs,191 cm,Right,G,22,0,0,51,0,0,61,46,57,55,7.09,38
Roei Mashpati,195K €,Maccabi Tel Aviv,Israel,Israeli Premier League,ISR,23 Nov 1992,31 yrs,186 cm,Right,G,90,0,0,43,0,0,59,42,47,52,6.85,22
Frantzdy Pierrot,2.7M €,Maccabi Haifa,Israel,Israeli Premier League,HAI,29 Mar 1995,29 yrs,194 cm,Right,F,9,66,48,52,32,46,0,0,0,0,7.02,42
Dean David,1.3M €,Maccabi Haifa,Israel,Israeli Premier League,ISR,14 Mar 1996,28 yrs,184 cm,Left,F,21,65,48,50,41,42,0,0,0,0,6.95,32
Daniil Lesovoy,1.7M €,Maccabi Haifa,Israel,Israeli Premier League,RUS,12 Jan 1998,26 yrs,175 cm,Right,F,31,65,62,38,30,61,0,0,0,0,6.55,13
Show,1.3M €,Maccabi Haifa,Israel,Israeli Premier League,ANG,6 Mar 1999,25 yrs,180 cm,Right,M,5,47,51,47,54,49,0,0,0,0,6.8,31
Lior Refaelov,365K €,Maccabi Haifa,Israel,Israeli Premier League,ISR,26 Apr 1986,37 yrs,176 cm,Both,M,11,58,56,45,42,59,0,0,0,0,7.2,38
Anan Khalaili,1.2M €,Maccabi Haifa,Israel,Israeli Premier League,ISR,3 Sept 2004,19 yrs,183 cm,Right,M,25,57,56,43,42,53,0,0,0,0,7.08,57
Ali Mohamed,2.3M €,Maccabi Haifa,Israel,Israeli Premier League,NIG,7 Oct 1995,28 yrs,170 cm,Both,M,4,48,59,52,52,56,0,0,0,0,7.03,41
