country,tournament,name,short_name,name_code,position,slug,id
Argentina,Liga Profesional de Fútbol,Argentinos Juniors,Argentinos Jrs.,ARG,1,argentinos-juniors,3216
Argentina,Liga Profesional de Fútbol,Atlético Tucumán,Atlético Tucumán,CAT,2,atletico-tucuman,36833
Argentina,Liga Profesional de Fútbol,Boca Juniors,Boca Juniors,BOC,3,boca-juniors,3202
Argentina,Liga Profesional de Fútbol,Banfield,Banfield,BAN,4,banfield,3219
Argentina,Liga Profesional de Fútbol,Barracas Central,Barracas,BAR,5,barracas-central,65668
Argentina,Liga Profesional de Fútbol,Belgrano,Belgrano,BEL,6,belgrano,3203
Argentina,Liga Profesional de Fútbol,Central Córdoba,Central Córdoba,CC,7,central-cordoba,65676
Argentina,Liga Profesional de Fútbol,Huracán,Huracán,HUR,8,huracan,7629
Argentina,Liga Profesional de Fútbol,Independiente,Independiente,CAI,9,independiente,3209
Argentina,Liga Profesional de Fútbol,Lanús,Lanús,LAN,10,lanus,3218
Argentina,Liga Profesional de Fútbol,Platense,Platense,PLA,11,platense,36837
Argentina,Liga Profesional de Fútbol,River Plate,River,RIV,12,river-plate,3211
Argentina,Liga Profesional de Fútbol,Rosario Central,Rosario Central,ROS,13,rosario-central,3217
Argentina,Liga Profesional de Fútbol,San Lorenzo,San Lorenzo,SLO,14,san-lorenzo,3201
Argentina,Liga Profesional de Fútbol,Sarmiento,Sarmiento,CAS,15,sarmiento,42338
Argentina,Liga Profesional de Fútbol,Talleres,Talleres,CAT,16,talleres,3210
Argentina,Liga Profesional de Fútbol,Tigre,Tigre,TIG,17,tigre,7628
Argentina,Liga Profesional de Fútbol,Godoy Cruz,Godoy Cruz,GOD,18,godoy-cruz,6074
Argentina,Liga Profesional de Fútbol,Defensa y Justicia,Def y Justicia,DYJ,19,defensa-y-justicia,36839
Argentina,Liga Profesional de Fútbol,Deportivo Riestra,Dep. Riestra,RIE,20,deportivo-riestra,189723
Argentina,Liga Profesional de Fútbol,Estudiantes de La Plata,Estudiantes,ELP,21,estudiantes-de-la-plata,3206
Argentina,Liga Profesional de Fútbol,Gimnasia y Esgrima,Gimnasia,GLP,22,gimnasia-y-esgrima,3205
Argentina,Liga Profesional de Fútbol,Independiente Rivadavia,Ind. Rivadavia,IRM,23,independiente-rivadavia,36842
Argentina,Liga Profesional de Fútbol,Instituto Córdoba,Instituto,IAC,24,instituto-cordoba,4937
Argentina,Liga Profesional de Fútbol,Newell's Old Boys,Newell's,NOB,25,newells-old-boys,3212
Argentina,Liga Profesional de Fútbol,Racing Club,Racing,RAC,26,racing-club,3215
Argentina,Liga Profesional de Fútbol,Club Atlético Unión,Unión,UNI,27,club-atletico-union,3204
Argentina,Liga Profesional de Fútbol,Vélez Sarsfield,Vélez Sarsfield,VEL,28,velez-sarsfield,3208
France,Ligue 1,Paris Saint-Germain,PSG,PSG,1,paris-saint-germain,1644
France,Ligue 1,Stade Brestois,Brest,SB29,2,stade-brestois,1715
France,Ligue 1,Lille,Lille,LOSC,3,lille,1643
France,Ligue 1,AS Monaco,AS Monaco,ASM,4,as-monaco,1653
France,Ligue 1,Nice,Nice,OGCN,5,nice,1661
France,Ligue 1,RC Lens,Lens,RCL,6,rc-lens,1648
France,Ligue 1,Olympique de Marseille,Marseille,OM,7,olympique-de-marseille,1641
France,Ligue 1,Stade Rennais,Rennes,SRFC,8,stade-rennais,1658
France,Ligue 1,Stade de Reims,Reims,SDR,9,stade-de-reims,1682
France,Ligue 1,Olympique Lyonnais,Lyon,OL,10,olympique-lyonnais,1649
France,Ligue 1,Toulouse,Toulouse,TFC,11,toulouse,1681
France,Ligue 1,RC Strasbourg,Strasbourg,RCS,12,rc-strasbourg,1659
France,Ligue 1,Montpellier,Montpellier,MHS,13,montpellier,1642
France,Ligue 1,Nantes,Nantes,FCN,14,nantes,1647
France,Ligue 1,Le Havre,Le Havre,HAC,15,le-havre,1662
France,Ligue 1,Lorient,Lorient,FCL,16,lorient,1656
France,Ligue 1,Metz,Metz,FCM,17,metz,1651
France,Ligue 1,Clermont Foot,Clermont,CF63,18,clermont-foot,1680
Belgium,Pro League,Royale Union Saint-Gilloise,USG,USG,1,royale-union-saint-gilloise,4860
Belgium,Pro League,Anderlecht,Anderlecht,AND,2,anderlecht,2900
Belgium,Pro League,Club Brugge KV,Club Brugge,BRU,3,club-brugge-kv,2888
Belgium,Pro League,KRC Genk,Genk,GNK,4,krc-genk,2890
Belgium,Pro League,Royal Antwerp FC,Royal Antwerp,RAFC,5,royal-antwerp-fc,2889
Belgium,Pro League,Cercle Brugge,Cercle Brugge,CER,6,cercle-brugge,2929
England,Premier League,Liverpool,Liverpool,LIV,1,liverpool,44
England,Premier League,Arsenal,Arsenal,ARS,2,arsenal,42
England,Premier League,Manchester City,Man City,MCI,3,manchester-city,17
England,Premier League,Aston Villa,Aston Villa,AVL,4,aston-villa,40
England,Premier League,Tottenham Hotspur,Tottenham ,TOT,5,tottenham-hotspur,33
England,Premier League,Manchester United,Man Utd,MUN,6,manchester-united,35
England,Premier League,West Ham United,West Ham,WHU,7,west-ham-united,37
England,Premier League,Newcastle United,Newcastle,NEW,8,newcastle-united,39
England,Premier League,Brighton & Hove Albion,Brighton,BHA,9,brighton-and-hove-albion,30
England,Premier League,Chelsea,Chelsea,CHE,10,chelsea,38
England,Premier League,Wolverhampton,Wolves,WOL,11,wolverhampton,3
England,Premier League,Bournemouth,Bournemouth,BOU,12,bournemouth,60
England,Premier League,Fulham,Fulham,FUL,13,fulham,43
England,Premier League,Crystal Palace,Crystal Palace,CRY,14,crystal-palace,7
England,Premier League,Brentford,Brentford,BRE,15,brentford,50
England,Premier League,Everton,Everton,EVE,16,everton,48
England,Premier League,Nottingham Forest,Forest,NFO,17,nottingham-forest,14
England,Premier League,Luton Town,Luton,LUT,18,luton-town,72
England,Premier League,Burnley,Burnley,BUR,19,burnley,6
England,Premier League,Sheffield United,Sheffield Utd,SHU,20,sheffield-united,15
Brazil,Brasileirão Série A,Atlético Goianiense,Atlético-GO,GOI,1,atletico-goianiense,7314
Brazil,Brasileirão Série A,Atlético Mineiro,Atlético-MG,ATL,2,atletico-mineiro,1977
Brazil,Brasileirão Série A,Botafogo,Botafogo,BOT,3,botafogo,1958
Brazil,Brasileirão Série A,Athletico,Athletico,CAP,4,athletico,1967
Brazil,Brasileirão Série A,Flamengo,Flamengo,FLA,5,flamengo,5981
Brazil,Brasileirão Série A,Vasco da Gama,Vasco,VAS,6,vasco-da-gama,1974
Brazil,Brasileirão Série A,Criciúma,Criciúma,CRI,7,criciuma,1984
Brazil,Brasileirão Série A,Cruzeiro,Cruzeiro,CRU,8,cruzeiro,1954
Brazil,Brasileirão Série A,Cuiabá,Cuiabá,CUI,9,cuiaba,49202
Brazil,Brasileirão Série A,Bahia,Bahia,BAH,10,bahia,1955
Brazil,Brasileirão Série A,Juventude,Juventude,JUV,11,juventude,1980
Brazil,Brasileirão Série A,Vitória,Vitória,VIT,12,vitoria,1962
Brazil,Brasileirão Série A,Fluminense,Fluminense,FLU,13,fluminense,1961
Brazil,Brasileirão Série A,Fortaleza,Fortaleza,FOR,14,fortaleza,2020
Brazil,Brasileirão Série A,Grêmio,Grêmio,GPA,15,gremio,5926
Brazil,Brasileirão Série A,Red Bull Bragantino,RB Bragantino,BRA,16,red-bull-bragantino,1999
Brazil,Brasileirão Série A,São Paulo,São Paulo,SPA,17,sao-paulo,1981
Brazil,Brasileirão Série A,Corinthians,Corinthians,COR,18,corinthians,1957
Brazil,Brasileirão Série A,Internacional,Internacional,INT,19,internacional,1966
Brazil,Brasileirão Série A,Palmeiras,Palmeiras,PAL,20,palmeiras,1963
Portugal,Liga Portugal Betclic,Sporting,Sporting,SCP,1,sporting,3001
Portugal,Liga Portugal Betclic,Benfica,Benfica,SLB,2,benfica,3006
Portugal,Liga Portugal Betclic,FC Porto,Porto,FCP,3,fc-porto,3002
Portugal,Liga Portugal Betclic,Sporting Braga,Braga,SCB,4,sporting-braga,2999
Portugal,Liga Portugal Betclic,Vitória SC,Vitória,VIT,5,vitoria-sc,3009
Portugal,Liga Portugal Betclic,Moreirense,Moreirense,MOR,6,moreirense,3014
Portugal,Liga Portugal Betclic,Arouca,Arouca,ARO,7,arouca,25777
Portugal,Liga Portugal Betclic,Famalicão,Famalicão,FAM,8,famalicao,49531
Portugal,Liga Portugal Betclic,Casa Pia,Casa Pia,CAS,10,casa-pia,36365
Portugal,Liga Portugal Betclic,SC Farense,Farense,FAR,10,sc-farense,2998
Portugal,Liga Portugal Betclic,Boavista,Boavista,BFC,11,boavista,2995
